cod_modulo,id_ra,definicion,tipo
3029,5,"Realiza el mantenimiento básico de sistemas informáticos, soportes y periféricos, relacionando las intervenciones con los resultados que hay que conseguir.",
3029,6,"Almacena equipos, periféricos y consumibles, describiendo las condiciones de conservación y etiquetado.",
3030,1,"Configura equipos informáticos para su funcionamiento en un entorno monousuario, identificando la funcionalidad de la instalación.",
3030,2,"Configura equipos informáticos para su funcionamiento en un entorno de red, identificando los permisos del usuario.",
3030,3,"Utiliza aplicaciones de un paquete ofimático, relacionándolas con sus aplicaciones.",X
3030,4,"Emplea utilidades proporcionadas por Internet, configurándolas e identificando su funcionalidad y prestaciones.",
3031,1,"Tramita información en línea aplicando herramientas de Internet, intranet y otras redes.",
3031,2,Realiza comunicaciones internas y externas mediante las utilidades de correo electrónico siguiendo las pautas marcadas.,
3031,3,Elabora documentos utilizando las funciones básicas del procesador de texto.,X
3031,4,Elabora documentos utilizando las aplicaciones básicas de hojas de cálculo.,
3031,5,Elabora presentaciones gráficas utilizando aplicaciones informáticas.,
3031,6,"Utiliza los equipos de reproducción, informáticos y de encuadernación funcional ‒fotocopiadoras, impresoras, escáneres, reproductoras, perforadoras, encuadernadoras u otros‒, en función del trabajo a realizar.",
3031,7,Obtener encuadernaciones funcionales utilizando los útiles y medios apropiados en función de las características de los documentos tipo,
3016,1,"Selecciona los elementos que configuran las redes para la transmisión de voz y datos, describiendo sus principales características y funcionalidad.",
3016,2,"Monta canalizaciones, soportes y armarios en redes de transmisión de voz y datos, identificando los elementos en el plano de la instalación y aplicando técnicas de montaje.",
3016,3,Despliega el cableado de una red de voz y datos analizando su trazado.,
3016,4,"Instala elementos y sistemas de transmisión de voz y datos, reconociendo y aplicando las diferentes técnicas de montaje.",
3016,5,Realiza operaciones básicas de configuración en redes locales cableadas relacionándolas con sus aplicaciones.,X
3016,6,"Cumple las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados, las medidas y sistemas para prevenirlos.",
369,1,"Instala sistemas operativos, analizando sus características e interpretando la documentación técnica.",X
369,2,"Configura el software de base, analizando las necesidades de explotación del sistema informático.",
369,3,"Asegura la información del sistema, describiendo los procedimientos y utilizando copias de seguridad y sistemas tolerantes a fallos.",
369,4,Centraliza la información en servidores administrando estructuras de dominios y analizando sus ventajas.,
369,5,Administra el acceso a dominios analizando y respetando requerimientos de seguridad.,
369,6,"Detecta problemas de rendimiento, monitorizando el sistema con las herramientas adecuadas y documentando el procedimiento.",
369,7,"Audita la utilización y acceso a recursos, identificando y respetando las necesidades de seguridad del sistema.",
369,8,Implanta software específico con estructura cliente/servidor dando respuesta a los requisitos funcionales.,
370,1,Reconoce la estructura de las redes de datos identificando sus elementos y principios de funcionamiento.,
370,2,". Integra ordenadores y periféricos en redes cableadas e inalámbricas, evaluando su funcionamiento y prestaciones.",X
370,3,Administra conmutadores estableciendo opciones de configuración para su integración en la red.,
370,4,Administra las funciones básicas de un «router» estableciendo opciones de configuración para su integración en la red.,
370,5,Configura redes locales virtuales identificando su campo de aplicación.,
370,6,Realiza tareas avanzadas de administración de red analizando y utilizando protocolos dinámicos de encaminamiento.,
370,7,Conecta redes privadas a redes públicas identificando y aplicando diferentes tecnologías.,
371,1,"Configura equipos microinformáticos, componentes y periféricos, analizando sus características y relación con el conjunto.",X
371,2,Instala software de propósito general evaluando sus características y entornos de aplicación.,
371,3,"Ejecuta procedimientos para recuperar el software base de un equipo, analizándolos y utilizando imágenes almacenadas en memoria auxiliar.",
371,4,"Implanta hardware específico de centros de proceso de datos (CPD), analizando sus características y aplicaciones.",
371,5,"Cumple las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados, las medidas y equipos para prevenirlos.",
372,1,Reconoce los elementos de las bases de datos analizando sus funciones y valorando la utilidad de sistemas gestores.,
372,2,Diseña modelos lógicos normalizados interpretando diagramas entidad/relación.,
372,3,"Realiza el diseño físico de bases de datos utilizando asistentes, herramientas gráficas y el lenguaje de definición de datos.",
372,4,"Consulta la información almacenada manejando asistentes, herramientas gráficas y el lenguaje de manipulación de datos.",X
372,5,"Modifica la información almacenada utilizando asistentes, herramientas gráficas y el lenguaje de manipulación de datos.",
372,6,"Ejecuta tareas de aseguramiento de la información, analizándolas y aplicando mecanismos de salvaguarda y transferencia.",
374,1,Administra el servicio de directorio interpretando especificaciones e integrándolo en una red.,
374,2,Administra procesos del sistema describiéndolos y aplicando criterios de seguridad y eficiencia.,X
374,3,"Gestiona la automatización de tareas del sistema, aplicando criterios de eficiencia y utilizando comandos y herramientas gráficas.",
374,4,Administra de forma remota el sistema operativo en red valorando su importancia y aplicando criterios de seguridad.,
374,5,Administra servidores de impresión describiendo sus funciones e integrándolos en una red.,
374,6,"Integra sistemas operativos libres y propietarios, justificando y garantizando su interoperabilidad.",
374,7,"Utiliza lenguajes de guiones en sistemas operativos, describiendo su aplicación y administrando servicios del sistema operativo.",
375,1,"Administra servicios de resolución de nombres, analizándolos y garantizando la seguridad del servicio",
375,2,"Administra servicios de configuración automática, identificándolos y verificando la correcta asignación de los parámetros",
375,3,Administra servidores Web aplicando criterios de configuración y asegurando el funcionamiento del servicio,X
375,4,Administra servicios de transferencia de archivos asegurando y limitando el acceso a la información,
375,5,"Administra servidores de correo electrónico, aplicando criterios de configuración y garantizando la seguridad del servicio",
375,6,"Administra servicios de mensajería instantánea, noticias y listas de distribución, verificando y asegurando el acceso de los usuarios",
375,7,Administra servicios de audio identificando las necesidades de distribución y adaptando los formatos,
375,8,Administra servicios de vídeo identificando las necesidades de distribución y adaptando los formatos,
376,1,Prepara el entorno de desarrollo y los servidores de aplicaciones Web instalando e integrando las funcionalidades necesarias.,
376,2,Implanta gestores de contenidos seleccionándolos y estableciendo la configuración de sus parámetros.,X
376,3,Administra gestores de contenidos adaptándolos a los requerimientos y garantizando la integridad de la información.,
376,4,Gestiona aplicaciones de ofimática Web integrando funcionalidades y asegurando el acceso a la información.,
376,5,Genera documentos Web utilizando lenguajes de guiones de servidor.,
376,6,Genera documentos Web con acceso a bases de datos utilizando lenguajes de guiones de servidor.,
376,7,Realiza modificaciones en gestores de contenidos adaptando su apariencia y funcionalidades.,
377,1,Implanta sistemas gestores de bases de datos analizando sus características y ajustándose a los requerimientos del sistema.,
377,2,Configura el sistema gestor de bases de datos interpretando las especificaciones técnicas y los requisitos de explotación.,X
377,3,"Implanta métodos de control de acceso utilizando asistentes, herramientas gráficas y comandos del lenguaje del sistema gestor.",
377,4,Automatiza tareas de administración del gestor describiéndolas y utilizando guiones de sentencias.,
377,5,Optimiza el rendimiento del sistema aplicando técnicas de monitorización y realizando adaptaciones.,
377,6,Aplica criterios de disponibilidad analizándolos y ajustando la configuración del sistema gestor.,
378,1,"Adopta pautas y prácticas de tratamiento seguro de la información, reconociendo las vulnerabilidades de un sistema informático y la necesidad de asegurarlo.",X
378,2,"Implanta mecanismos de seguridad activa, seleccionando y ejecutando contramedidas ante amenazas o ataques al sistema.",
378,3,"Implanta técnicas seguras de acceso remoto a un sistema informático, interpretando y aplicando el plan de seguridad.",
378,4,"Implanta cortafuegos para asegurar un sistema informático, analizando sus prestaciones y controlando el tráfico hacia la red interna.",
378,5,"Implanta servidores «proxy», aplicando criterios de configuración que garanticen el funcionamiento seguro del servicio.",
378,6,Implanta soluciones de alta disponibilidad empleando técnicas de virtualización y configurando los entornos de prueba.,
378,7,Reconoce la legislación y normativa sobre seguridad y protección de datos valorando su importancia.,
486,1,Desarrolla aplicaciones que gestionan información almacenada en ficheros identificando el campo de aplicación de los mismos y utilizando clases específicas.,
486,2,Desarrolla aplicaciones que gestionan información almacenada en bases de datos relacionales identificando y utilizando mecanismos de conexión.,
486,3,Gestiona la persistencia de los datos identificando herramientas de mapeo objeto relacional (ORM) y desarrollando aplicaciones que las utilizan.,
486,4,Desarrolla aplicaciones que gestionan la información almacenada en bases de datos objeto relacionales y orientadas a objetos valorando sus características y utilizando los mecanismos de acceso incorporados.,
486,5,Desarrolla aplicaciones que gestionan la información almacenada en bases de datos documentales nativas evaluando y utilizando clases específicas.,
486,6,Programa componentes de acceso a datos identificando las características que debe poseer un componente y utilizando herramientas de desarrollo.,X
488,1,Genera interfaces gráficos de usuario mediante editores visuales utilizando las funcionalidades del editor y adaptando el código generado.,
488,2,Genera interfaces naturales de usuario utilizando herramientas visuales.,
488,3,Crea componentes visuales valorando y empleando herramientas específicas.,
488,4,Diseña interfaces gráficas identificando y aplicando criterios de usabilidad y accesibilidad.,X
488,5,Crea informes evaluando y utilizando herramientas gráficas.,
488,6,Documenta aplicaciones seleccionando y utilizando herramientas específicas.,
488,7,Prepara aplicaciones para su distribución evaluando y utilizando herramientas específicas.,
488,8,Evalúa el funcionamiento de aplicaciones diseñando y ejecutando pruebas.,
489,1,Aplica tecnologías de desarrollo para dispositivos móviles evaluando sus características y capacidades.,
489,2,Desarrolla aplicaciones para dispositivos móviles analizando y empleando las tecnologías y librerías específicas.,X
489,3,Desarrolla programas que integran contenidos multimedia analizando y empleando las tecnologías y librerías específicas.,
489,4,Selecciona y prueba motores de juegos analizando la arquitectura de juegos 2D y 3D.,
489,5,Desarrolla juegos 2D y 3D sencillos utilizando motores de juegos.,
490,1,Desarrolla aplicaciones compuestas por varios procesos reconociendo y aplicando principios de programación paralela.,
490,2,Desarrolla aplicaciones compuestas por varios hilos de ejecución analizando y aplicando librerías específicas del lenguaje de programación.,
490,3,Programa mecanismos de comunicación en red empleando sockets y analizando el escenario de ejecución.,
490,4,"Desarrolla aplicaciones que ofrecen servicios en red, utilizando librerías de clases y aplicando criterios de eficiencia y disponibilidad.",X
490,5,"Protege las aplicaciones y los datos definiendo y aplicando criterios de seguridad en el acceso, almacenamiento y transmisión de la información.",
491,1,Identifica sistemas de planificación de recursos empresariales y de gestión de relaciones con clientes (ERP-CRM) reconociendo sus características y verificando la configuración del sistema informático.,X
491,2,Implanta sistemas ERP-CRM interpretando la documentación técnica e identificando las diferentes opciones y módulos.,
491,3,"Realiza operaciones de gestión, consulta y análisis de la información siguiendo las especificaciones de diseño y utilizando las herramientas proporcionadas por los sistemas ERP-CRM.",
491,4,Adapta sistemas ERP-CRM identificando los requerimientos de un supuesto empresarial y utilizando las herramientas proporcionadas por los mismos.,
491,5,Desarrolla componentes para un sistema ERP-CRM analizando y utilizando el lenguaje de programación incorporado.,
221,1,"Selecciona los componentes de integración de un equipo microinformático estándar, describiendo sus funciones y comparando prestaciones de distintos fabricantes.",
221,2,"Ensambla un equipo microinformático, interpretando planos e instrucciones del fabricante aplicando técnicas de montaje.",
221,3,"Mide parámetros eléctricos, identificando el tipo de señal y relacionándola con sus unidades características.",
221,4,Mantiene equipos informáticos interpretando las recomendaciones de los fabricantes y relacionando las disfunciones con sus causas.,X
221,5,Instala software en un equipo informático utilizando una imagen almacenada en un soporte de memoria y justificando el procedimiento a seguir.,
221,6,Reconoce nuevas tendencias en el ensamblaje de equipos microinformáticos describiendo sus ventajas y adaptándolas a las características de uso de los equipos.,
221,7,"Mantiene periféricos, interpretando las recomendaciones de los fabricantes de equipos y relacionando disfunciones con sus causas.",
221,8,"Cumple las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados, las medidas y equipos para prevenirlos.",
222,1,"Reconoce las características de los sistemas de archivo, describiendo sus tipos y aplicaciones.",
222,2,"Instala sistemas operativos, relacionando sus características con el hardware del equipo y el software de aplicación.",X
222,3,"Realiza tareas básicas de configuración de sistemas operativos, interpretando requerimientos y describiendo los procedimientos seguidos.",
222,4,"Realiza operaciones básicas de administración de sistemas operativos, interpretando requerimientos y optimizando el sistema para su uso.",
222,5,Crea máquinas virtuales identificando su campo de aplicación e instalando software específico.,
223,1,"Instala y actualiza aplicaciones ofimáticas, interpretando especificaciones y describiendo los pasos a seguir en el proceso.",
223,2,"Elabora documentos y plantillas, describiendo y aplicando las opciones avanzadas de procesadores de textos.",
223,3,"Elabora documentos y plantillas de cálculo, describiendo y aplicando opciones avanzadas de hojas de cálculo.",
223,4,Elabora documentos con bases de datos ofimáticas describiendo y aplicando operaciones de manipulación de datos.,
223,5,Manipula imágenes digitales analizando las posibilidades de distintos programas y aplicando técnicas de captura y edición básicas.,
223,6,Manipula secuencias de vídeo analizando las posibilidades de distintos programas y aplicando técnicas de captura y edición básicas.,
223,7,Elabora presentaciones multimedia describiendo y aplicando normas básicas de composición y diseño.,
223,8,"Realiza operaciones de gestión del correo y la agenda electrónica, relacionando necesidades de uso con su configuración.",
223,9,"Aplica técnicas de soporte en el uso de aplicaciones, identificando y resolviendo incidencias.",X
225,1,Reconoce la estructura de redes locales cableadas analizando las características de entornos de aplicación y describiendo la funcionalidad de sus componentes.,
225,2,Despliega el cableado de una red local interpretando especificaciones y aplicando técnicas de montaje.,
225,3,Interconecta equipos en redes locales cableadas describiendo estándares de cableado y aplicando técnicas de montaje de conectores.,
225,4,"Instala equipos en red, describiendo sus prestaciones y aplicando técnicas de montaje.",X
225,5,Mantiene una red local interpretando recomendaciones de los fabricantes de hardware o software y estableciendo la relación entre disfunciones y sus causas.,
225,6,"Cumple las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados, las medidas y equipos para prevenirlos.",
224,1,Instala sistemas operativos en red describiendo sus características e interpretando la documentación técnica.,
224,2,"Gestiona usuarios y grupos de sistemas operativos en red, interpretando especificaciones y aplicando herramientas del sistema.",
224,3,Realiza tareas de gestión sobre dominios identificando necesidades y aplicando herramientas de administración de dominios.,
224,4,"Gestiona los recursos compartidos del sistema, interpretando especificaciones y determinando niveles de seguridad.",X
224,5,"Realiza tareas de monitorización y uso del sistema operativo en red, describiendo las herramientas utilizadas e identificando las principales incidencias.",
224,6,"Realiza tareas de integración de sistemas operativos libres y propietarios, describiendo las ventajas de compartir recursos e instalando software específico.",
226,1,Aplica medidas de seguridad pasiva en sistemas informáticos describiendo características de entornos y relacionándolas con sus necesidades.,
226,2,Gestiona dispositivos de almacenamiento describiendo los procedimientos efectuados y aplicando técnicas para asegurar la integridad de la información.,
226,3,Aplica mecanismos de seguridad activa describiendo sus características y relacionándolas con las necesidades de uso del sistema informático.,
226,4,Asegura la privacidad de la información transmitida en redes informáticas describiendo vulnerabilidades e instalando software especifico.,X
226,5,Reconoce la legislación y normativa sobre seguridad y protección de datos analizando las repercusiones de su incumplimiento.,
227,1,"Instala servicios de configuración dinámica, describiendo sus características y aplicaciones.",
227,2,"Instala servicios de resolución de nombres, describiendo sus características y aplicaciones.",
227,3,"Instala servicios de transferencia de ficheros, describiendo sus características y aplicaciones.",
227,4,Gestiona servidores de correo electrónico identificando requerimientos de utilización y aplicando criterios de configuración.,
227,5,Gestiona servidores web identificando requerimientos de utilización y aplicando criterios de configuración.,X
227,6,Gestiona métodos de acceso remoto describiendo sus características e instalando los servicios correspondientes.,
227,7,Despliega redes inalámbricas seguras justificando la configuración elegida y describiendo los procedimientos de implantación.,
227,8,Establece el acceso desde redes locales a redes públicas identificando posibles escenarios y aplicando software específico.,
228,1,"Instala gestores de contenidos, identificando sus aplicaciones y configurándolos según requerimientos.",
228,2,"Instala sistemas de gestión de aprendizaje a distancia, describiendo la estructura del sitio y la jerarquía de directorios generada.",
228,3,"Instala servicios de gestión de archivos web, identificando sus aplicaciones y verificando su integridad.",
228,4,"Instala aplicaciones de ofimática web, describiendo sus características y entornos de uso.",
228,5,"Instala aplicaciones web de escritorio, describiendo sus características y entornos de uso.",X
3015,1,"Identifica el material, herramientas y equipo necesarios para el montaje y ensamblado de equipos eléctricos y electrónicos, describiendo sus principales características y funcionalidad.",
3015,2,"Determina la secuencia de las operaciones de montaje y desmontaje de equipos eléctricos y electrónicos, interpretando esquemas e identificando los pasos a seguir.",
3015,3,"Monta y desmonta elementos de equipos eléctricos o electrónicos, interpretando esquemas y guías de montaje.",X
3015,4,Conexiona elementos en equipos eléctricos o electrónicos aplicando técnicas básicas y verificando la continuidad.,
3015,5,"Realiza el mantenimiento básico de equipos eléctricos y electrónicos, aplicando las técnicas establecidas en condiciones de calidad y seguridad.",
3029,1,"Selecciona los componentes y herramientas para la realización del montaje y mantenimiento de sistemas microinformáticos, describiéndolos y relacionándolos con su función y aplicación en la instalación.",
3029,2,"Ensambla los componentes hardware de un equipo microinformático, interpretando guías e instrucciones y aplicando técnicas de montaje.",
3029,3,Instala sistemas operativos monopuesto identicando las fases del proceso y relacionándolas con la funcionalidad de la instalación.,
3029,4,"Comprueba la funcionalidad de los sistemas, soportes y periféricos instalados relacionando las intervenciones con los resultados a conseguir",X
3029,5,"Realiza el mantenimiento básico de sistemas informáticos, soportes y periféricos, relacionando las intervenciones con los resultados que hay que conseguir.",
3029,6,"Almacena equipos, periféricos y consumibles, describiendo las condiciones de conservación y etiquetado.",
3030,1,"Configura equipos informáticos para su funcionamiento en un entorno monousuario, identificando la funcionalidad de la instalación.",
3030,2,"Configura equipos informáticos para su funcionamiento en un entorno de red, identificando los permisos del usuario.",
3030,3,"Utiliza aplicaciones de un paquete ofimático, relacionándolas con sus aplicaciones",X
3030,4,"Emplea utilidades proporcionadas por Internet, configurándolas e identificando su funcionalidad y prestaciones",
3031,1,"Tramita información en línea aplicando herramientas de Internet, intranet y otras redes.",
3031,2,Realiza comunicaciones internas y externas mediante las utilidades de correo electrónico siguiendo las pautas marcadas,
3031,3,Elabora documentos utilizando las funciones básicas del procesador de texto,X
3031,4,Elabora documentos utilizando las aplicaciones básicas de hojas de cálculo.,
3031,5,Elabora presentaciones gráficas utilizando aplicaciones informáticas.,
3031,6,"Utilizar los equipos de reproducción, informáticos y de encuadernación funcional —fotocopiadoras, impresoras, escáneres, reproductoras, perforadoras encuadernadoras u otros en función del trabajo a realizar",
3031,7,Obtener encuadernaciones funcionales utilizando los útiles y medios apropiados en función de las características de los documentos tipo,
3016,1,"Selecciona los elementos que conguran las redes para la transmisión de voz y datos, describiendo sus principales características y funcionalidad.",
3016,2,"Monta canalizaciones, soportes y armarios en redes de transmisión de voz y datos, identicando los elementos en el plano de la instalación y aplicando técnicas de montaje.",
3016,3,Despliega el cableado de una red de voz y datos analizando su trazado,
3016,4,"Instala elementos y sistemas de transmisión de voz y datos, reconociendo y aplicando las diferentes técnicas de montaje",
3016,5,Realiza operaciones básicas de configuración en redes locales cableadas relacionándolas con sus aplicaciones,x
3016,6,"Cumple las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados, las medidas y sistemas para prevenirlos",
3001,1,"Prepara los equipos y materiales necesarios para su trabajo, reconociendo sus principales funciones y aplicaciones y sus necesidades de mantenimiento",
3001,2,"Graba informáticamente datos, textos y otros documentos, valorando la rapidez y exactitud del proceso.",
3001,3,"Trata textos y datos informáticamente, seleccionando las aplicaciones informáticas en función de la tarea.",
3001,4,"Tramita documentación mediante su archivo, impresión y transmisión de los mismos, relacionado el tipo de documento con su ubicación.",X
3002,1,"Tramita información en línea aplicando herramientas de Internet, intranet y otras redes.",X
3002,2,Realiza comunicaciones internas y externas mediante las utilidades de correo electrónico siguiendo las pautas marcadas.,
3002,3,Elabora documentos utilizando las aplicaciones básicas de hojas de cálculo.,
3002,4,Elabora presentaciones gráficas utilizando aplicaciones informáticas.,
3003,1,Clasifica las tareas administrativas de una empresa identificando las áreas funcionales de la misma.,x
3003,2,Tramita correspondencia y paquetería identificando las fases del proceso,
3003,3,Controla el almacén de material de oficina relacionando el nivel de existencias con el aseguramiento de la continuidad de los servicios,
3003,4,Realiza operaciones básicas de tesorería identificando los diferentes documentos utilizados.,
3004,1,Realiza labores de reprografía de documentos valorando la calidad del resultado obtenido.,x
3004,2,Archiva documentos convencionales utilizados en las operaciones comerciales y administrativas relacionando el tipo de documento con su ubicación o destino,
3004,3,"Se comunica telefónicamente, en el ámbito profesional, distinguiendo el origen y destino de llamadas y mensajes.",
3004,4,Recibe a personas externas a la organización reconociendo y aplicando normas de protocolo.,
3005,1,"Atiende a posibles clientes, reconociendo las diferentes técnicas de comunicación.",X
3005,2,"Comunica al posible cliente las diferentes posibilidades del servicio, justificándolas desde el punto de vista técnico.",
3005,3,"Informa al probable cliente del servicio realizado, justificando las operaciones ejecutadas.",
3005,4,"Atiende reclamaciones de posibles clientes, reconociendo el protocolo de actuación",
3006,1,Asesora sobre las características de los productos solicitados y seleccionando las mercancías requeridas de acuerdo con las instrucciones establecidas,
3006,2,"Conforma pedidos de acuerdo con los requerimientos de posibles clientes, aplicando técnicas de medición y pesado mediante herramientas manuales y terminales específicos.",X
3006,3,Prepara pedidos para su expedición aplicando procedimientos manuales y automáticos de embalaje y etiquetado mediante equipos específicos,
3006,4,Realiza el seguimiento del servicio postventa identificando las situaciones posibles y aplicando los protocolos correspondientes,
437,1,"Selecciona técnicas de comunicación, relacionándolas con la estructura e imagen de la empresa y los flujos de información existentes en ella",
437,2,"Transmite información de forma oral, vinculándola a los usos y costumbres socioprofesionales habituales en la empresa.",
437,3,"Transmite información escrita, aplicando las técnicas de estilo a diferentes tipos de documentos propios de la empresa y de la Administración Pública",
437,4,"Archiva información en soporte papel e informático, reconociendo los criterios de eficiencia y ahorro en los trámites administrativos.",X
437,5,Reconoce necesidades de posibles clientes aplicando técnicas de comunicación.,
437,6,"Atiende consultas, quejas y reclamaciones de posibles clientes aplicando la normativa vigente en materia de consumo.",
