cod_modulo,id_ra,id_criterio,definicion
485,4,d,Se han creado constructores.
485,4,e,Se han desarrollado programas que instancien y utilicen objetos de las clases creadas anteriormente.
485,4,f,Se han utilizado mecanismos para controlar la visibilidad de las clases y de sus miembros.
485,4,g,Se han definido y utilizado clases heredadas.
485,4,h,Se han creado y utilizado métodos estáticos.
485,4,i,Se han creado y utilizado conjuntos y librerías de clases.
485,5,a,Se ha utilizado la consola para realizar operaciones de entrada y salida de información.
485,5,b,Se han aplicado formatos en la visualización de la información.
485,5,c,Se han reconocido las posibilidades de entrada / salida del lenguaje y las librerías asociadas.
485,5,d,Se han utilizado ficheros para almacenar y recuperar información.
485,5,e,Se han creado programas que utilicen diversos métodos de acceso al contenido de los ficheros.
485,5,f,Se han utilizado las herramientas del entorno de desarrollo para crear interfaces gráficos de usuario simples.
485,5,g,Se han programado controladores de eventos.
485,5,h,Se han escrito programas que utilicen interfaces gráficos para la entrada y salida de información.
485,6,a,Se han escrito programas que utilicen matrices (arrays).
485,6,b,Se han reconocido las librerías de clases relacionadas con tipos de datos avanzados.
485,6,c,Se han utilizado listas para almacenar y procesar información.
485,6,d,Se han utilizado iteradores para recorrer los elementos de las listas.
485,6,e,Se han reconocido las características y ventajas de cada una de las colecciones de datos disponibles.
485,6,f,Se han creado clases y métodos genéricos.
485,6,g,Se han utilizado expresiones regulares en la búsqueda de patrones en cadenas de texto.
485,6,h,Se han identificado las clases relacionadas con el tratamiento de documentos escritos en diferentes lenguajes de intercambio de datos.
485,6,i,Se han realizado programas que realicen manipulaciones sobre documentos escritos en diferentes lenguajes de intercambio de datos.
485,6,j,Se han utilizado operaciones agregadas para el manejo de información almacenada en colecciones.
485,7,a,"Se han identificado los conceptos de herencia, superclase y subclase."
485,7,b,Se han utilizado modificadores para bloquear y forzar la herencia de clases y métodos.
485,7,c,Se ha reconocido la incidencia de los constructores en la herencia.
485,7,d,Se han creado clases heredadas que sobrescriben la implementación de métodos de la superclase.
485,7,e,Se han diseñado y aplicado jerarquías de clases.
485,7,f,Se han probado y depurado las jerarquías de clases.
485,7,g,Se han realizado programas que implementen y utilicen jerarquías de clases.
485,7,h,Se ha comentado y documentado el código.
485,7,i,Se han identificado y evaluado los escenarios de uso de interfaces.
485,7,j,Se han identificado y evaluado los escenarios de utilización de la herencia y la composición.
485,8,a,Se han identificado las características de las bases de datos orientadas a objetos.
485,8,b,Se ha analizado su aplicación en el desarrollo de aplicaciones mediante lenguajes orientados a objetos.
485,8,c,Se han instalado sistemas gestores de bases de datos orientados a objetos.
485,8,d,Se han clasificado y analizado los distintos métodos soportados por los sistemas gestores para la gestión de la información almacenada.
485,8,e(,Se han creado bases de datos y las estructuras necesarias para el almacenamiento de objetos.
485,8,f,Se han programado aplicaciones que almacenen objetos en las bases de datos creadas.
485,8,g,"Se han realizado programas para recuperar, actualizar y eliminar objetos de las bases de datos."
485,8,h,"Se han realizado programas para almacenar y gestionar tipos de datos estructurados, compuestos y relacionados."
485,9,a,Se han identificado las características y métodos de acceso a sistemas gestores de bases de datos.
485,9,b,Se han programado conexiones con bases de datos.
485,9,c,Se ha escrito un código para almacenar información en bases de datos.
485,9,d,Se han creado programas para recuperar y mostrar información almacenada en bases de datos.
485,9,e,Se han efectuado borrados y modificaciones sobre la información almacenada.
485,9,f,Se han creado aplicaciones que muestren la información almacenada en bases de datos.
485,9,g,Se han creado aplicaciones para gestionar la información presente en bases de datos.
373,1,a,Se han identificado las características generales de los lenguajes de marcas.
373,1,b,Se han reconocido las ventajas que proporcionan en el tratamiento de la información.
373,1,c,Se han clasificado los lenguajes de marcas e identificado los más relevantes.
373,1,d,Se han diferenciado sus ámbitos de aplicación.
373,1,e,Se han reconocido la necesidad y los ámbitos específicos de aplicación de un lenguaje de marcas de propósito general.
373,1,f,Se han analizado las características propias de diferentes lenguajes de marcas.
373,1,g,Se ha identificado la estructura de un documento y sus reglas sintácticas.
373,1,h,Se ha contrastado la necesidad de crear documentos bien formados y la influencia en su procesamiento.
373,1,i,Se han identificado las ventajas que aportan los espacios de nombres.
373,2,a,Se han identificado y clasificado los lenguajes de marcas relacionados con la web y sus diferentes versiones y estándares.
373,2,b,Se ha analizado la estructura de un documento HTML e identificado las secciones que lo componen.
373,2,c,Se ha reconocido la funcionalidad de las principales etiquetas y los atributos del lenguaje HTML.
373,2,d,Se han establecido las semejanzas y diferencias entre las diferentes versiones de HTML.
373,2,e,Se han utilizado herramientas en la creación de documentos web.
373,2,f,Se han identificado las ventajas que aporta la utilización de hojas de estilo.
373,2,g,Se han aplicado hojas de estilo.
373,2,h,Se han validado documentos HTML y CSS.
373,2,i,Se han identificado las tecnologías en que se basa la sindicación de contenidos.
373,2,j,Se han reconocido los ámbitos de aplicación de la sindicación de contenidos.
373,3,a,Se han identificado y clasificado los lenguajes de script de cliente relacionados con la web y sus diferentes versiones y estándares.
373,3,b,Se ha identificado la sintaxis básica de los lenguajes de script de cliente.
373,3,c,Se han utilizado métodos para la selección y acceso de los diferentes elementos de un documento web.
373,3,d,Se han creado y modificado elementos de documentos web.
373,3,e,Se han eliminado elementos de documentos web.
373,3,f,Se han realizado modificaciones sobre los estilos de un documento web.
373,4,a,Se ha establecido la necesidad de describir la información transmitida en los documentos y sus reglas.
373,4,b,Se han identificado las tecnologías relacionadas con la definición de documentos.
373,4,c,Se ha analizado la estructura y sintaxis específica utilizada en la descripción.
373,4,d,Se han creado descripciones de documentos.
373,4,e,Se han utilizado descripciones en la elaboración y validación de documentos.
373,4,f,Se han asociado las descripciones con los documentos.
373,4,g,Se han utilizado herramientas específicas.
373,5,a,Se ha identificado la necesidad de la conversión de documentos para el intercambio de la información.
373,5,b,Se han establecido ámbitos de aplicación.
373,5,c,Se han analizado las tecnologías implicadas y su modo de funcionamiento.
373,5,d,Se ha descrito la sintaxis específica utilizada en la conversión y adaptación de documentos para el intercambio de información.
373,5,e,Se han creado especificaciones de conversión.
373,5,f,Se han identificado y caracterizado herramientas específicas relacionadas con la conversión de documentos para el intercambio de información.
373,5,g,Se han realizado conversiones sobre documentos para el intercambio de información.
373,6,a,Se han identificado los principales métodos de almacenamiento de la información utilizados en documentos de intercambio de datos.
373,6,b,Se han identificado las ventajas e inconvenientes de almacenar información en formatos de intercambio de datos.
373,6,c,Se han establecido tecnologías eficientes de almacenamiento de información en función de sus características.
373,6,d,Se han identificado lenguajes y herramientas para el tratamiento y almacenamiento de información y su inclusión en documentos de intercambio de datos.
373,6,e,Se han utilizado lenguajes de consulta y manipulación en documentos de intercambio de datos.
373,6,f,Se han utilizado sistemas gestores de bases de datos relacionales en el almacenamiento de información en formatos de intercambio de datos.
373,6,g,Se han utilizado técnicas específicas para crear documentos de intercambio de datos a partir de información almacenada en bases de datos relacionales.
373,6,h,Se han identificado las características de los sistemas.
373,6,i,Se han utilizado herramientas para gestionar la información almacenada en bases de datos nativas.
373,7,a,Se han identificado los principales sistemas de gestión empresarial.
373,7,b,Se han reconocido las ventajas de los sistemas de gestión de información empresariales.
373,7,c,Se han evaluado las características de las principales aplicaciones de gestión empresarial.
373,7,d,Se han instalado aplicaciones de gestión de la información empresarial.
373,7,e,Se han configurado y administrado las aplicaciones.
373,7,f,Se han establecido y verificado mecanismos de acceso seguro a la información.
373,7,g,Se han generado informes.
373,7,h,Se han realizado procedimientos de extracción de información para su tratamiento e incorporación a diversos sistemas.
373,7,i,Se han elaborado documentos relativos a la explotación de la aplicación.
487,1,a,"Se ha reconocido la relación de los programas con los componentes del sistema informático: memoria, procesador, periféricos, entre otros."
487,1,b,Se han identificado las fases de desarrollo de una aplicación informática.
487,1,c,"Se han diferenciado los conceptos de código fuente, objeto y ejecutable."
487,1,d,Se han reconocido las características de la generación de código intermedio para su ejecución en máquinas virtuales.
487,1,e,"Se han clasificado los lenguajes de programación, identificando sus características."
487,1,f,Se ha evaluado la funcionalidad ofrecida por las herramientas utilizadas en el desarrollo de software.
487,1,g,Se han identificado las características y escenarios de uso de las metodologías ágiles de desarrollo de software.
487,2,a,"Se han instalado entornos de desarrollo, propietarios y libres."
487,2,b,Se han añadido y eliminado módulos en el entorno de desarrollo.
487,2,c,Se ha personalizado y automatizado el entorno de desarrollo.
487,2,d,Se ha configurado el sistema de actualización del entorno de desarrollo.
487,2,e,Se han generado ejecutables a partir de código fuente de diferentes lenguajes en un mismo entorno de desarrollo.
487,2,f,Se han generado ejecutables a partir de un mismo código fuente con varios entornos de desarrollo.
487,2,g,Se han identificado las características comunes y específicas de diversos entornos de desarrollo.
487,3,a,Se han identificado los diferentes tipos de pruebas.
487,3,b,Se han definido casos de prueba.
487,3,c,Se han identificado las herramientas de depuración y prueba de aplicaciones ofrecidas por el entorno de desarrollo.
487,3,d,Se han utilizado herramientas de depuración para definir puntos de ruptura y seguimiento.
487,3,e,Se han utilizado las herramientas de depuración para examinar y modificar el comportamiento de un programa en tiempo de ejecución.
487,3,f,Se han efectuado pruebas unitarias de clases y funciones.
487,3,g,Se han implementado pruebas automáticas.
487,3,h,Se han documentado las incidencias detectadas.
487,3,i,Se han utilizado dobles de prueba para aislar los componentes durante las pruebas.
487,4,a,Se han identificado los patrones de refactorización más usuales.
487,4,b,Se han elaborado las pruebas asociadas a la refactorización.
487,4,c,Se ha revisado el código fuente usando un analizador de código.
487,4,d,Se han identificado las posibilidades de configuración de un analizador de código.
487,4,e,Se han aplicado patrones de refactorización con las herramientas que proporciona el entorno de desarrollo.
487,4,f,Se ha realizado el control de versiones integrado en el entorno de desarrollo.
487,4,g,Se han utilizado herramientas del entorno de desarrollo para documentar las clases.
487,4,h,Se han utilizado repositorios remotos para el desarrollo de código colaborativo.
487,4,i,Se han utilizado herramientas para la integración continua del código.
487,5,a,Se han identificado los conceptos básicos de la programación orientada a objetos.
487,5,b,Se han utilizado herramientas para la elaboración de diagramas de clases.
487,5,c,Se ha interpretado el significado de diagramas de clases.
487,5,d,Se han trazado diagramas de clases a partir de las especificaciones de las mismas.
487,5,e,Se ha generado código a partir de un diagrama de clases.
487,5,f,Se ha generado un diagrama de clases mediante ingeniería inversa.
487,6,a,Se han identificado los distintos tipos de diagramas de comportamiento.
487,6,b,Se ha reconocido el significado de los diagramas de casos de uso.
487,6,c,Se han interpretado diagramas de interacción.
487,6,d,Se han elaborado diagramas de interacción sencillos.
487,6,e,Se ha interpretado el significado de diagramas de actividades.
487,6,f,Se han elaborado diagramas de actividades sencillos.
487,6,g,Se han interpretado diagramas de estados.
487,6,h,Se han planteado diagramas de estados sencillos.
612,1,a,Se han caracterizado y diferenciado los modelos de ejecución de código en el servidor y en el cliente web.
612,1,b,Se han identificado las capacidades y mecanismos de ejecución de código de los navegadores web.
612,1,c,Se han identificado y caracterizado los principales lenguajes relacionados con la programación de clientes web.
612,1,d,Se han reconocido las particularidades de la programación de guiones y sus ventajas y desventajas sobre la programación tradicional.
612,1,e,Se han verificado los mecanismos de integración de los lenguajes de marcas con los lenguajes de programación de clientes web.
612,1,f,Se han reconocido y evaluado las herramientas de programación y prueba sobre clientes web.
612,2,a,Se ha seleccionado un lenguaje de programación de clientes web en función de sus posibilidades.
612,2,b,Se han utilizado los distintos tipos de variables y operadores disponibles en el lenguaje.
612,2,c,Se han identificado los ámbitos de utilización de las variables.
612,2,d,Se han reconocido y comprobado las peculiaridades del lenguaje respecto a las conversiones entre distintos tipos de datos.
612,2,e,Se han utilizado mecanismos de decisión en la creación de bloques de sentencias.
612,2,f,Se han utilizado bucles y se ha verificado su funcionamiento.
612,2,g,Se han añadido comentarios al código.
612,2,h,"Se han utilizado herramientas y entornos para facilitar la programación, prueba y documentación del código."
612,3,a,Se han identificado los objetos predefinidos del lenguaje.
612,3,b,Se han analizado los objetos referentes a las ventanas del navegador y los documentos web que contienen.
612,3,c,Se han escrito sentencias que utilicen los objetos predefinidos del lenguaje para cambiar el aspecto del navegador y el documento que contiene.
612,3,d,Se han generado textos y etiquetas como resultado de la ejecución de código en el navegador.
612,3,e,Se han escrito sentencias que utilicen los objetos predefinidos del lenguaje para interactuar con el usuario.
612,3,f,Se han utilizado las características propias del lenguaje en documentos compuestos por varias ventanas.
612,3,g,Se han utilizado mecanismos del navegador web para almacenar información y recuperar su contenido.
612,3,h,Se ha depurado y documentado el código.
612,4,a,Se han clasificado y utilizado las funciones predefinidas del lenguaje.
612,4,b,Se han creado y utilizado funciones definidas por el usuario.
612,4,c,Se han reconocido las características del lenguaje relativas a la creación y uso de matrices (arrays).
612,4,d,Se han creado y utilizado matrices (arrays).
612,4,e,Se han utilizado operaciones agregadas para el manejo de información almacenada en colecciones.
612,4,f,Se han reconocido las características de orientación a objetos del lenguaje.
612,4,g,Se ha creado código para definir la estructura de objetos.
612,4,h,Se han creado métodos y propiedades.
612,4,i,Se ha creado código que haga uso de objetos definidos por el usuario.
612,4,j,Se han utilizado patrones de diseño de software.
612,4,k,Se ha depurado y documentado el código.
612,5,a,Se han reconocido las posibilidades del lenguaje de marcas relativas a la captura de los eventos producidos.
612,5,b,Se han identificado las características del lenguaje de programación relativas a la gestión de los eventos.
612,5,c,Se han diferenciado los tipos de eventos que se pueden manejar.
612,5,d,Se ha creado un código que capture y utilice eventos.
612,5,e,Se han reconocido las capacidades del lenguaje relativas a la gestión de formularios web.
612,5,f,Se han validado formularios web utilizando eventos.
612,5,g,Se han utilizado expresiones regulares para facilitar los procedimientos de validación.
612,5,h,Se ha probado y documentado el código.
612,6,a,Se ha reconocido el modelo de objetos del documento de una página web.
612,6,b,"Se han identificado los objetos del modelo, sus propiedades y métodos."
612,6,c,Se ha creado y verificado un código que acceda a la estructura del documento.
612,6,d,Se han creado nuevos elementos de la estructura y modificado elementos ya existentes.
612,6,e,Se han asociado acciones a los eventos del modelo.
612,6,f,Se han identificado las diferencias que presenta el modelo en diferentes navegadores.
612,6,g,Se han programado aplicaciones web de forma que funcionen en navegadores con diferentes implementaciones del modelo.
612,6,h,"Se han independizado las tres capas de implementación (contenido, aspecto y comportamiento), en aplicaciones web."
612,7,a,Se han evaluado las ventajas e inconvenientes de utilizar mecanismos de comunicación asíncrona entre cliente y servidor web.
612,7,b,Se han analizado los mecanismos disponibles para el establecimiento de la comunicación asíncrona.
612,7,c,Se han utilizado los objetos relacionados.
612,7,d,Se han identificado sus propiedades y sus métodos.
612,7,e,Se ha utilizado comunicación asíncrona en la actualización dinámica del documento web.
612,7,f,Se han utilizado distintos formatos en el envío y recepción de información.
612,7,g,Se han programado aplicaciones web asíncronas de forma que funcionen en diferentes navegadores.
612,7,h,"Se han clasificado, analizado y utilizado librerías y frameworks que faciliten la incorporación de las tecnologías de actualización dinámica a la programación de páginas web."
612,7,i,Se han creado y probado y documentado aplicaciones web que utilicen estas librerías y frameworks.
613,1,a,Se han caracterizado y diferenciado los modelos de ejecución de código en el servidor y en el cliente web.
613,1,b,Se han reconocido las ventajas que proporciona la generación dinámica de páginas.
613,1,c,Se han identificado los mecanismos de ejecución de código en los servidores web.
613,1,d,Se han reconocido las funcionalidades que aportan los servidores de aplicaciones y su integración con los servidores web.
613,1,e,Se han identificado y caracterizado los principales lenguajes y tecnologías relacionados con la programación web en entorno servidor.
613,1,f,Se han verificado los mecanismos de integración de los lenguajes de marcas con los lenguajes de programación en entorno servidor.
613,1,g,Se han reconocido y evaluado las herramientas y frameworks de programación en entorno servidor.
613,2,a,Se han reconocido los mecanismos de generación de páginas web a partir de lenguajes de marcas con código embebido.
613,2,b,Se han identificado las principales tecnologías asociadas.
613,2,c,Se han utilizado etiquetas para la inclusión de código en el lenguaje de marcas.
613,2,d,Se ha reconocido la sintaxis del lenguaje de programación que se ha de utilizar.
613,2,e,Se han escrito sentencias simples y se han comprobado sus efectos en el documento resultante.
613,2,f,Se han utilizado directivas para modificar el comportamiento predeterminado.
613,2,g,Se han utilizado los distintos tipos de variables y operadores disponibles en el lenguaje.
613,2,h,Se han identificado los ámbitos de utilización de las variables.
613,3,a,Se han utilizado mecanismos de decisión en la creación de bloques de sentencias.
613,3,b,Se han utilizado bucles y se ha verificado su funcionamiento.
613,3,c,Se han utilizado matrices (arrays) para almacenar y recuperar conjuntos de datos.
613,3,d,Se han creado y utilizado funciones.
613,3,e,Se han utilizado formularios web para interactuar con el usuario del navegador web.
613,3,f,Se han empleado métodos para recuperar la información introducida en el formulario.
613,3,g,Se han añadido comentarios al código.
613,4,a,Se han identificado los mecanismos disponibles para el mantenimiento de la información que concierne a un cliente web concreto y se han señalado sus ventajas.
613,4,b,Se han utilizado mecanismos para mantener el estado de las aplicaciones web.
613,4,c,Se han utilizado mecanismos para almacenar información en el cliente web y para recuperar su contenido.
613,4,d,Se han identificado y caracterizado los mecanismos disponibles para la autentificación de usuarios.
613,4,e,Se han escrito aplicaciones que integren mecanismos de autentificación de usuarios.
613,4,f,"Se han utilizado herramientas y entornos para facilitar la programación, prueba y depuración del código."
613,5,a,Se han identificado las ventajas de separar la lógica de negocio de los aspectos de presentación de la aplicación.
613,5,b,Se han analizado y utilizado mecanismos y frameworks que permiten realizar esta separación y sus características principales.
613,5,c,Se han utilizado objetos y controles en el servidor para generar el aspecto visual de la aplicación web en el cliente.
613,5,d,Se han utilizado formularios generados de forma dinámica para responder a los eventos de la aplicación web.
613,5,e,Se han identificado y aplicado los parámetros relativos a la configuración de la aplicación web.
613,5,f,Se han escrito aplicaciones web con mantenimiento de estado y separación de la lógica de negocio.
613,5,g,Se han aplicado los principios y patrones de diseño de la programación orientada a objetos.
613,5,h,Se ha probado y documentado el código.
613,6,a,Se han analizado las tecnologías que permiten el acceso mediante programación a la información disponible en almacenes de datos.
613,6,b,Se han creado aplicaciones que establezcan conexiones con bases de datos.
613,6,c,Se ha recuperado información almacenada en bases de datos.
613,6,d,Se ha publicado en aplicaciones web la información recuperada.
613,6,e,Se han utilizado conjuntos de datos para almacenar la información.
613,6,f,Se han creado aplicaciones web que permitan la actualización y la eliminación de información disponible en una base de datos.
613,6,g,Se han probado y documentado las aplicaciones web.
613,7,a,Se han reconocido las características propias y el ámbito de aplicación de los servicios web.
613,7,b,Se han reconocido las ventajas de utilizar servicios web para proporcionar acceso a funcionalidades incorporadas a la lógica de negocio de una aplicación.
613,7,c,Se han identificado las tecnologías y los protocolos implicados en el consumo de servicios web.
613,7,d,Se han utilizado los estándares y arquitecturas más difundidos e implicados en el desarrollo de servicios web.
613,7,e,Se ha programado un servicio web.
613,7,f,Se ha verificado el funcionamiento del servicio web.
613,7,g,Se ha consumido el servicio web.
613,7,h,Se ha documentado un servicio web.
613,8,a,Se han identificado las diferencias entre la ejecución de código en el servidor y en el cliente web.
613,8,b,Se han reconocido las ventajas de unir ambas tecnologías en el proceso de desarrollo de programas.
613,8,c,Se han identificado las tecnologías y frameworks relacionadas con la generación por parte del servidor de páginas web con guiones embebidos.
613,8,d,Se han utilizado estas tecnologías y frameworks para generar páginas web que incluyan interacción con el usuario.
613,8,e,"Se han utilizado estas tecnologías y frameworks, para generar páginas web que incluyan verificación de formularios."
